order_id,participant_id,security_id,side,quantity,price,timestamp
ORD-001,PART-A,AAPL,BID,100,176.00,2026-09-16T09:30:00
ORD-002,PART-B,AAPL,ASK,100,175.00,2026-09-16T09:30:01
ORD-003,PART-C,AAPL,BID,50,174.50,2026-09-16T09:30:02
ORD-004,PART-D,AAPL,ASK,80,174.00,2026-09-16T09:30:03
ORD-005,PART-E,AAPL,BID,40,173.00,2026-09-16T09:30:04
ORD-006,PART-A,MSFT,ASK,100,416.00,2026-09-16T09:30:05
ORD-007,PART-B,MSFT,BID,100,417.00,2026-09-16T09:30:06
ORD-008,PART-C,MSFT,ASK,50,414.00,2026-09-16T09:30:07
ORD-009,PART-D,MSFT,BID,30,415.00,2026-09-16T09:30:08
ORD-010,PART-E,MSFT,ASK,20,420.00,2026-09-16T09:30:09
